date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:40	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:40%20GMT	http://localhost:60754/page_403.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/page_403.22.delayed	(from http://localhost:60754/)
17:23:42	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:42%20GMT	http://localhost:60754/page_404.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/page_404.23.delayed	(from http://localhost:60754/)
17:23:45	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:45%20GMT	http://localhost:60754/page_500.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/page_500.24.delayed	(from http://localhost:60754/)
17:23:47	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:47%20GMT	http://localhost:60754/plain_page.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/plain_page.25.delayed	(from http://localhost:60754/)
17:23:50	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:50%20GMT	http://localhost:60754/login.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/login.26.delayed	(from http://localhost:60754/)
17:23:52	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:52%20GMT	http://localhost:60754/pricing_tables.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/pricing_tables.27.delayed	(from http://localhost:60754/)
17:23:55	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:55%20GMT	http://localhost:60754/level2.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/level2.28.delayed	(from http://localhost:60754/)
17:23:58	35/35	---M--	200	added ('OK')	application/javascript	etag:%221d3f888e8de4da3%22	http://localhost:60754/js/site.js?v=EWaMeWsJBYWmL2g_KkgXZQ5nPe-a3Ichp0LEgzXczKo	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/js/sited534.js	(from http://localhost:60754/)
17:24:02	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d3c76b8d4dbf1f%22	http://localhost:60754/css/bootstrap/dist/fonts/glyphicons-halflings-regular.eot	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/bootstrap/dist/fonts/glyphicons-halflings-regular.eot	(from http://localhost:60754/css/bootstrap/dist/css/bootstrap.css)
17:24:07	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d3c76b8d4dbf1f%22	http://localhost:60754/css/bootstrap/dist/fonts/glyphicons-halflings-regular.eot?	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/bootstrap/dist/fonts/glyphicons-halflings-regulard41d.eot	(from http://localhost:60754/css/bootstrap/dist/css/bootstrap.css)
17:24:07	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%221d3c76b8d4db7ec%22	http://localhost:60754/css/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2	(from http://localhost:60754/css/bootstrap/dist/css/bootstrap.css)
17:24:10	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%221d3c76b8d4daa00%22	http://localhost:60754/css/bootstrap/dist/fonts/glyphicons-halflings-regular.woff	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/bootstrap/dist/fonts/glyphicons-halflings-regular.woff	(from http://localhost:60754/css/bootstrap/dist/css/bootstrap.css)
